epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,39.97183214,49.95101241,47.63104839,57.10685484
2,54.28131123,60.99771391,59.77822581,63.70967742
3,64.03086218,62.35711953,63.65927419,64.66733871
4,67.82229752,62.83678968,71.21975806,64.31451613
5,69.65627041,63.15214729,72.78225806,63.70967742
6,70.72379164,63.23379327,73.6391129,63.81048387
7,71.69741999,63.26747224,71.37096774,65.87701613
8,72.08115611,63.5807887,74.49596774,63.55846774
9,72.66288374,63.65427008,74.19354839,63.50806452
10,72.85373122,63.89512573,74.04233871,64.71774194
11,73.3038047,63.97064827,73.99193548,63.96169355
12,73.50077564,64.15129001,53.27620968,63.81048387
13,73.80490692,64.37581646,74.09274194,64.36491935
14,74.10189419,64.37581646,74.39516129,64.01209677
15,74.20088994,64.6493305,75.2016129,64.41532258
16,74.34785271,64.75853201,74.04233871,66.68346774
17,74.75506205,65.03102547,71.01814516,64.46572581
18,74.75097975,64.92998857,72.73185484,65.37298387
19,75.1173661,65.2688194,75.05040323,64.61693548
20,75.28474037,65.32597159,74.49596774,64.91935484
21,75.3725098,65.57805356,73.84072581,65.47379032
22,75.65112671,65.44844056,73.58870968,65.27217742
23,75.66847649,65.61377368,74.84879032,66.38104839
24,75.87769432,65.78727139,71.6733871,63.15524194
25,76.06956238,65.90259634,73.84072581,64.56653226
26,76.25530699,66.14141084,72.93346774,64.91935484
27,76.41553723,66.04751796,73.68951613,64.71774194
28,76.46758654,66.2404066,74.54637097,64.41532258
29,76.52269758,66.32613488,73.99193548,64.2641129
30,76.7931499,66.49555029,73.13508065,63.65927419
31,76.87377531,66.59964892,73.58870968,63.25604839
32,76.88500163,66.64047191,72.98387097,64.86895161
33,76.96358589,66.97930274,74.24395161,62.95362903
34,77.10340464,66.80988733,72.37903226,65.52419355
35,77.14422763,66.79559928,73.68951613,62.55040323
36,77.40957707,66.92929458,73.58870968,64.86895161
37,77.35446604,67.21199379,73.38709677,64.56653226
38,77.51469628,67.25996081,73.84072581,63.15524194
39,77.58001306,67.44468485,72.68145161,64.51612903
40,77.63410353,67.43141737,72.78225806,63.81048387
41,77.80658067,67.69982854,72.93346774,63.45766129
42,77.79841607,67.81005062,61.18951613,62.7016129
43,77.94027596,67.91823155,73.03427419,64.46572581
44,77.95354344,67.95497224,72.73185484,63.8608871
45,78.14643207,68.27543272,72.42943548,64.46572581
46,78.21379001,68.04070052,64.61693548,63.20564516
47,78.21991346,68.27441215,72.83266129,62.19758065
48,78.38218485,68.52649412,72.42943548,63.70967742
49,78.50669497,68.55507022,73.6391129,63.70967742
50,78.49955095,68.58160516,71.92540323,63.70967742
51,78.52506532,68.69999184,73.13508065,63.70967742
52,78.69958361,68.86940725,72.78225806,63.76008065
53,78.74653005,68.97452645,71.97580645,63.30645161
54,78.75775637,69.1020983,71.92540323,62.65120968
55,78.91390431,69.2357936,71.72379032,63.10483871
56,78.75877694,69.62565317,71.72379032,64.2641129
57,78.97411822,69.4664435,71.42137097,61.84475806
58,79.24150882,69.57258328,73.08467742,62.90322581
59,79.3313194,69.62769432,72.37903226,63.10483871
60,79.37214239,69.99306009,72.93346774,62.7016129
61,79.33846342,70.0655209,71.42137097,61.79435484
62,79.7079115,70.20942195,72.12701613,63.96169355
63,79.67729425,70.22575114,71.32056452,64.46572581
64,79.80588668,70.65031025,71.72379032,62.2983871
65,79.64769758,70.75645003,71.62298387,62.39919355
66,79.94774657,70.82686969,71.11895161,61.99596774
67,80.04878347,71.07588994,71.6733871,61.59274194
68,80.21717831,71.41165905,71.6733871,61.89516129
69,80.23963096,71.46472894,70.5141129,61.79435484
70,80.30188602,71.57188929,70.66532258,61.54233871
71,80.61622306,71.87193828,71.97580645,63.20564516
72,80.53865937,71.69129654,71.01814516,62.95362903
73,80.66827237,72.07707381,69.95967742,62.65120968
74,80.93872469,72.11993795,70.76612903,62.44959677
75,80.80911169,72.40059602,71.32056452,62.65120968
76,80.96628021,72.65982201,70.21169355,63.45766129
77,80.96117734,72.86495754,70.71572581,61.44153226
78,81.31225506,73.11703952,70.86693548,61.54233871
79,81.04486447,73.18337688,69.80846774,62.55040323
80,81.3510369,73.47117897,69.45564516,62.5
81,81.51739059,73.70284944,71.27016129,62.09677419
82,81.65516819,73.89675865,70.3125,61.44153226
83,81.72150555,74.04270085,70.91733871,61.44153226
84,81.69701176,74.18354017,70.91733871,61.59274194
85,82.08585075,74.35805846,68.9516129,63.10483871
86,82.04400718,74.46215709,68.9516129,61.29032258
87,82.01441052,75.05715219,70.41330645,61.08870968
88,82.24914272,75.03265839,69.25403226,61.74395161
89,82.19913455,75.05511104,70.76612903,62.60080645
90,82.38385859,75.31637818,69.80846774,62.90322581
91,82.31548008,75.70317603,71.6733871,61.84475806
92,82.53082136,75.62153005,69.30443548,63.81048387
93,82.53184193,76.13896146,69.45564516,63.05443548
94,82.78800621,76.08385042,69.90927419,62.90322581
95,82.8125,76.27571848,70.21169355,62.85282258
96,82.81862345,76.35124102,68.34677419,61.84475806
97,83.02580013,76.60944644,69.40524194,62.75201613
98,82.9543599,76.82784944,71.27016129,60.98790323
99,83.06254082,77.1574951,68.85080645,61.99596774
100,83.35952809,77.05033475,70.46370968,62.60080645
