epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,62.16933377,56.22244448,71.01814516,61.74395161
2,69.20211463,59.40459667,71.21975806,63.50806452
3,71.39839157,61.674355,72.22782258,63.55846774
4,73.04968158,62.45917701,74.29435484,63.65927419
5,73.55282495,63.47669007,75.45362903,65.4233871
6,74.07637982,65.59642391,75.50403226,68.24596774
7,74.70403331,74.38561398,76.00806452,84.47580645
8,81.27653494,91.09650555,83.26612903,94.95967742
9,86.59168844,96.89949379,85.88709677,97.47983871
10,88.63896146,98.21705585,86.49193548,97.93346774
11,89.8799804,98.69366427,87.80241935,97.42943548
12,91.02506532,99.00289843,88.35685484,98.03427419
13,91.93847975,99.19272534,89.66733871,98.28629032
14,92.58756532,99.30907087,88.60887097,98.38709677
15,93.29074135,99.41010777,91.43145161,97.63104839
16,93.78878184,99.44174559,90.47379032,98.13508065
17,94.19395003,99.48665088,90.52419355,98.28629032
18,94.63381777,99.52849445,91.17943548,97.68145161
19,95.0900147,99.57544089,90.97782258,97.98387097
20,95.42884553,99.62136675,90.02016129,97.98387097
